embedding_x,embedding_y
13.340097,11.540147
10.242115,15.01384
12.964172,12.014746
-5.397284,-3.670696
2.0305252,-17.57971
11.121368,13.920575
14.209763,10.984938
-9.344089,5.212078
13.347514,11.679585
21.917906,10.956385
11.21536,-17.413012
-5.896349,-2.7250388
15.21712,10.303447
5.4977727,-18.123407
13.0178,11.672091
15.160414,10.371251
6.203324,-11.418623
-6.0996966,-2.8643696
21.28315,1.8497981
14.74579,10.573791
14.484074,10.766481
-5.93466,1.355107
11.906428,12.996938
9.885997,4.169898
14.242991,10.956518
21.296503,1.8364291
0.10745208,12.540839
20.105165,-11.88605
7.47684,6.8888893
8.952183,0.49723318
13.42699,9.76176
7.5529704,5.807492
20.737331,-11.419361
10.607562,-16.49776
-4.90559,-3.9441812
9.751452,4.3133307
15.152611,10.376123
9.157382,4.6866703
14.343433,10.859196
-0.34766495,13.211923
10.499943,4.220138
4.6590567,10.765959
11.83614,9.717702
5.7001495,-18.676395
20.012768,-10.926879
19.923836,-10.996282
11.134958,-0.07070559
15.156949,10.372955
7.458418,5.858375
6.3568916,7.112633
20.017622,-11.746075
-9.363403,4.19775
-0.6412373,19.198236
16.66901,-14.749352
3.7046955,10.316894
11.66217,-12.435561
3.017632,19.921001
0.96444035,14.253475
16.714687,-14.795186
5.491587,-18.089071
10.772867,-8.327493
21.96281,10.903234
-9.752741,0.501735
6.065426,-12.037528
-6.5689507,4.417031
12.618016,-4.258857
15.161335,10.373477
7.237504,6.3784556
15.09432,10.411072
12.479004,11.114972
14.226622,10.975499
12.726859,9.978282
21.321287,1.8184026
11.447588,-12.31427
21.297325,1.8368962
-9.90968,0.6950157
10.143352,14.97181
14.8004265,10.521581
10.870763,10.097524
19.82845,-10.633865
21.32245,1.8177575
12.605209,11.657518
11.493453,-12.318156
10.020064,-0.2268104
5.303792,-18.688198
3.5697143,10.372712
-9.615821,-3.430499
20.193241,-11.885256
16.716421,-14.797
3.7220743,9.466011
-0.17974994,12.707723
-4.954078,-3.9529169
10.519405,4.6304636
4.936835,-6.9611607
11.103673,13.936538
10.598354,-16.486198
15.0878525,10.41687
13.656802,9.633796
20.121178,-11.875813
5.812789,6.4223685
3.263006,10.422765
13.285429,-12.366389
12.610465,-4.266433
10.896049,15.403044
16.608511,-14.688353
-9.92551,5.331848
10.134689,15.044635
3.5995395,9.765551
5.105996,-7.033772
21.330685,1.815929
11.749127,9.55413
5.5106134,-7.2132845
3.0747943,19.965607
21.311499,1.8378001
-9.5231085,-3.3349013
13.246696,11.816893
10.520307,4.2464423
5.688344,-12.587896
14.688473,10.554913
11.875334,9.914713
13.989788,11.149814
12.030818,14.5528755
-8.066905,4.8562646
3.9242005,12.4302
0.48655778,12.795726
12.743448,9.978694
11.120795,13.8832035
21.293163,1.8393856
0.5713872,14.354285
0.9865217,14.253275
6.047374,-12.057059
11.53124,12.825231
17.677399,-4.611586
-2.0074286,2.8032806
-1.0480309,2.5470643
5.8867636,-18.661238
11.494737,12.874921
5.0561647,-6.9825163
11.651583,-12.425105
8.751214,5.148533
5.372763,-6.716193
5.853399,-18.649542
3.5733688,9.923014
11.1604595,13.901746
21.44616,12.066782
3.5382853,10.342944
10.3064995,15.107448
11.518559,12.827891
-1.5687085,2.5344715
9.140414,4.7005234
9.26065,4.606251
-7.7595634,12.098263
-5.9670253,-2.7240465
11.203488,-17.396677
9.828836,14.751797
19.843208,-7.8455095
10.023903,-0.22666092
1.0702186,8.686909
2.6817253,-7.610192
5.0932765,-7.019215
5.3624477,-6.745206
0.21717504,13.893578
12.009823,12.861879
8.886121,5.0304575
16.723064,-14.803757
5.8687654,-18.661077
-9.790722,5.3178225
6.1421604,-11.199611
13.827835,19.932438
10.807797,15.4716625
14.579244,10.684762
-0.6271968,19.209826
14.329254,10.331414
7.052704,7.3760076
9.859489,14.788119
10.726253,15.453228
1.0737658,8.715043
2.5337336,17.836363
10.581062,-16.466576
